,technology,location,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
11588,HEX_transport,BRA-AUT,10,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11589,HEX_transport,BRA-AUT,11,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11590,HEX_transport,BRA-AUT,12,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11591,HEX_transport,BRA-AUT,13,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11592,HEX_transport,BRA-CHN,0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11593,HEX_transport,BRA-CHN,1,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11594,HEX_transport,BRA-CHN,2,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11595,HEX_transport,BRA-CHN,3,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11596,HEX_transport,BRA-CHN,4,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11597,HEX_transport,BRA-CHN,5,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11598,HEX_transport,BRA-CHN,6,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11599,HEX_transport,BRA-CHN,7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11600,HEX_transport,BRA-CHN,8,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11601,HEX_transport,BRA-CHN,9,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11602,HEX_transport,BRA-CHN,10,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11603,HEX_transport,BRA-CHN,11,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11604,HEX_transport,BRA-CHN,12,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11605,HEX_transport,BRA-CHN,13,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11606,HEX_transport,BRA-CZE,0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11607,HEX_transport,BRA-CZE,1,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11608,HEX_transport,BRA-CZE,2,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11609,HEX_transport,BRA-CZE,3,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11610,HEX_transport,BRA-CZE,4,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11611,HEX_transport,BRA-CZE,5,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11612,HEX_transport,BRA-CZE,6,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11613,HEX_transport,BRA-CZE,7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11614,HEX_transport,BRA-CZE,8,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11615,HEX_transport,BRA-CZE,9,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11616,HEX_transport,BRA-CZE,10,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11617,HEX_transport,BRA-CZE,11,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11618,HEX_transport,BRA-CZE,12,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11619,HEX_transport,BRA-CZE,13,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11620,HEX_transport,BRA-DEU,0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11621,HEX_transport,BRA-DEU,1,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11622,HEX_transport,BRA-DEU,2,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11623,HEX_transport,BRA-DEU,3,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11624,HEX_transport,BRA-DEU,4,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11625,HEX_transport,BRA-DEU,5,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11626,HEX_transport,BRA-DEU,6,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11627,HEX_transport,BRA-DEU,7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11628,HEX_transport,BRA-DEU,8,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11629,HEX_transport,BRA-DEU,9,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11630,HEX_transport,BRA-DEU,10,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11631,HEX_transport,BRA-DEU,11,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11632,HEX_transport,BRA-DEU,12,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11633,HEX_transport,BRA-DEU,13,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11634,HEX_transport,BRA-ITA,0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11635,HEX_transport,BRA-ITA,1,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11636,HEX_transport,BRA-ITA,2,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11637,HEX_transport,BRA-ITA,3,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11638,HEX_transport,BRA-ITA,4,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11639,HEX_transport,BRA-ITA,5,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11640,HEX_transport,BRA-ITA,6,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11641,HEX_transport,BRA-ITA,7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11642,HEX_transport,BRA-ITA,8,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11643,HEX_transport,BRA-ITA,9,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11644,HEX_transport,BRA-ITA,10,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11645,HEX_transport,BRA-ITA,11,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11646,HEX_transport,BRA-ITA,12,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
11647,HEX_transport,BRA-ITA,13,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
